"No."  ,"Time"           ,"Source"        ,"Destination"   ,"Protocol","Length","Info"
"14489","02:18:54.405807","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14593 Ack=922632 Win=65490 Len=0"
"14490","02:18:54.405812","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14593 Ack=924876 Win=65490 Len=0"
"14491","02:18:54.405833","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9957 Ack=922420 Win=65535 Len=0"
"14492","02:18:54.406064","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=922420 Ack=9957 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14493","02:18:54.406661","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=923880 Ack=9957 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14494","02:18:54.406667","10.224.168.94" ,"10.140.212.198","STUN"    ,"1514"  ,"ChannelData TURN Message [TCP segment of a reassembled PDU]"
"14495","02:18:54.407249","10.224.168.94" ,"10.140.212.198","TCP"     ,"162"   ,"3478  >  52370 [PSH, ACK] Seq=926800 Ack=9957 Win=29200 Len=108 [TCP segment of a reassembled PDU]"
"14496","02:18:54.407383","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9957 Ack=926908 Win=65535 Len=0"
"14497","02:18:54.425499","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=924876 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14498","02:18:54.425500","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=925998 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14499","02:18:54.425627","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=927120 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14500","02:18:54.425706","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=928242 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14501","02:18:54.426876","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14593 Ack=927120 Win=65490 Len=0"
"14502","02:18:54.427100","10.224.168.94" ,"10.140.212.198","TCP"     ,"1176"  ,"3478  >  52370 [PSH, ACK] Seq=926908 Ack=9957 Win=29200 Len=1122 [TCP segment of a reassembled PDU]"
"14503","02:18:54.427158","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9957 Ack=928030 Win=65535 Len=0"
"14504","02:18:54.427247","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14593 Ack=929364 Win=65490 Len=0"
"14505","02:18:54.427741","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=928030 Ack=9957 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14506","02:18:54.427932","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=929490 Ack=9957 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14507","02:18:54.428259","10.224.168.94" ,"10.140.212.198","TCP"     ,"500"   ,"3478  >  52370 [PSH, ACK] Seq=930950 Ack=9957 Win=29200 Len=446 [TCP segment of a reassembled PDU]"
"14508","02:18:54.428296","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9957 Ack=931396 Win=65535 Len=0"
"14509","02:18:54.445644","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=929364 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14510","02:18:54.445717","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=930486 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14511","02:18:54.445757","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=931608 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
